order_id,user_id,order_date
1,6,2024-04-15
2,4,2024-04-15
3,2,2024-04-15
4,7,2024-04-15
5,2,2024-04-15
6,6,2024-04-15
7,3,2024-04-15
8,3,2024-04-15
9,10,2024-04-15
10,10,2024-04-15
11,9,2024-11-06
12,1,2024-11-06
13,8,2024-11-06
14,8,2024-11-06
15,7,2024-11-06
16,6,2024-11-06
17,2,2024-11-06
18,4,2024-11-06
19,5,2024-11-06
20,8,2024-11-06
21,4,2024-06-28
22,4,2024-05-22
23,8,2024-06-30
24,3,2024-09-29
25,10,2024-11-26
26,8,2024-08-20
27,8,2024-06-19
28,7,2024-04-18
29,5,2024-05-11
30,8,2024-08-03
31,9,2024-05-22
32,9,2024-06-28
33,6,2024-02-21
34,6,2024-07-17
35,1,2024-11-24
36,10,2024-08-02
37,3,2024-02-22
38,1,2024-06-29
39,4,2024-07-16
40,5,2024-07-28
41,1,2024-02-10
42,8,2024-01-16
43,5,2024-09-26
44,2,2024-02-12
45,5,2024-04-12
46,5,2024-12-31
47,3,2024-04-14
48,8,2024-02-01
49,3,2024-01-31
50,1,2024-03-28
51,8,2024-12-14
52,4,2024-02-08
53,8,2024-06-30
54,10,2024-01-31
55,3,2024-11-27
56,7,2024-01-13
57,3,2024-09-08
58,9,2024-08-08
59,8,2024-11-07
60,9,2024-10-19
61,7,2024-06-25
62,1,2024-04-24
63,3,2024-02-13
64,9,2024-05-10
65,8,2024-01-23
66,9,2024-01-15
67,10,2024-12-05
68,2,2024-10-21
69,3,2024-05-28
70,3,2024-06-25
71,10,2024-02-15
72,7,2024-12-25
73,8,2024-04-17
74,6,2024-08-07
75,7,2024-12-18
76,7,2024-12-03
77,2,2024-02-25
78,5,2024-04-25
79,2,2024-03-27
80,9,2024-04-09
81,4,2024-10-02
82,1,2024-01-09
83,3,2024-02-28
84,4,2024-12-06
85,6,2024-08-24
86,2,2024-01-26
87,6,2024-03-20
88,6,2024-08-01
89,3,2024-06-22
90,10,2024-12-28
91,6,2024-02-10
92,5,2024-03-02
93,9,2024-08-05
94,8,2024-05-15
95,3,2024-09-29
96,3,2024-12-09
97,1,2024-11-23
98,2,2024-05-22
99,1,2024-05-04
100,2,2024-03-11
